Agriculture Year,Crop,Area,Area Unit,Area_Cent,Production,Production Unit,Productivity,Productivity Unit,Yield_kg_ha,Soil_Type,Soil_pH,Nitrogen_N_kg_ha,Phosphorus_P_kg_ha,Potassium_K_kg_ha,Rainfall_mm,Temperature_C,Humidity_percent,Irrigation_Level,Season,Suitability_Score_Derived
2021-22,Tapioca,55664,Hectare,13754852.72,2506352,MT,45026,Kg/ Hectare,45026,Loamy,6.159106664,62.65022885,30.01369613,54.73536015,1606.630883,24.2875532,75.46686566,Medium,Kharif,91.72
2023-24,Pepper,72669,Hectare,17956873.25,30798,MT,424,Kg/ Hectare,424,Silty,6.156020633,65.36924387,37.58216664,55.06221794,2302.26435,22.36340718,84.77603346,Medium,Perennial,57.73
2021-22,Cardamom,39143,Hectare,9672431.015,21270,MT,543,Kg/ Hectare,543,Clay,5.365118636,60.36382139,27.92716507,56.66587588,2534.285009,22.68599189,90.36633564,Medium,Perennial,59.22
2021-22,Cocoa,12527,Hectare,3095484.335,14486,MT,1156,Kg/ Hectare,1156,Loamy,5.936208975,68.81786225,29.69725901,72.02659848,1766.155148,20.18037323,78.20906702,Medium,Perennial,66.04
2021-22,Tea,35872,Hectare,8864150.56,60360,MT,1683,Kg/ Hectare,1683,Loamy,4.984441358,74.58110531,28.48433163,68.17100916,1834.427806,23.8368869,72.21618263,Medium,Perennial,72.41
2021-22,Tapioca,55664,Hectare,13754852.72,2506352,MT,45026,Kg/ Hectare,45026,Loamy,5.724326364,65.34827263,36.57943372,71.8066844,1520.122561,22.24928893,74.53137585,Medium,Kharif,94.72
2022-23,Coconut,760354,Hectare,187887275.2,5641,Million Nuts,7419,Nuts/ Hectare,7419,Clay,6.145854891,50.32539534,22.41751276,80.85078127,2259.999823,28.2130041,66.14722309,Medium,Perennial,87.56
2023-24,Cashew,31690,Hectare,7830757.45,12780,MT,403,Kg/ Hectare,403,Clay,5.829828743,53.02905401,27.45726553,40.20875364,1115.061906,28.49270018,65.3122989,Low,Perennial,64.29
2021-22,Cashew,32369,Hectare,7998541.745,15861,MT,490,Kg/ Hectare,490,Clay,6.085396002,49.23856038,29.01196829,43.70002784,1390.183118,26.41144962,63.8093796,Low,Perennial,61.67
2021-22,Cocoa,12527,Hectare,3095484.335,14486,MT,1156,Kg/ Hectare,1156,Clay,5.929470139,62.07716971,25.33266165,67.81803758,1212.453309,24.76485745,93.73817803,Medium,Perennial,65.74
2023-24,Rubber,551030,Hectare,136162268.2,533500,MT,968,Kg/ Hectare,968,Silty,5.285814639,48.36793695,25.99838377,63.30335839,2498.326385,30.02834565,84.61404525,Low,Perennial,68.17
2023-24,Cloves,672,Hectare,166054.56,51,MT,75,Kg/ Hectare,75,Loamy,5.948757734,47.13631209,25.98453044,67.00095121,3211.928899,28.76049012,78.98794407,Medium,Perennial,54.25
2021-22,Mango,75840,Hectare,18740443.2,470040,MT,6198,Kg/ Hectare,6198,Sandy,6.946582867,44.68227058,27.27922735,47.3312227,653.2924105,29.53149885,62.86989796,Low,Perennial,81.61
2021-22,Pepper,76351,Hectare,18866713.86,32516,MT,426,Kg/ Hectare,426,Sandy,5.818683584,65.13943716,38.84321517,57.64417847,3164.645345,18.81856008,81.00692527,Medium,Perennial,57.71
2023-24,Cardamom,40345,Hectare,9969451.225,22869,MT,567,Kg/ Hectare,567,Sandy,5.617414072,60.4909291,24.95873341,48.25371755,3011.020671,20.77918261,94.7794538,Medium,Perennial,62.46
2021-22,Rubber,551030,Hectare,136162268.2,533500,MT,968,Kg/ Hectare,968,Clay,5.819713132,55.39784392,22.34255836,61.99817858,2963.436696,28.69940181,82.63156389,Low,Perennial,70.33
2022-23,Nutmeg,23024,Hectare,5689345.52,17212,MT,748,Kg/ Hectare,748,Loamy,6.464847042,66.76517606,27.92117041,68.87831712,2975.406283,27.11302974,84.20612234,Medium,Perennial,61.25
2023-24,Cloves,672,Hectare,166054.56,51,MT,75,Kg/ Hectare,75,Clay,5.645193034,54.58892672,26.90174172,55.21159827,2816.720384,23.70437971,73.95114339,Medium,Perennial,58.57
2021-22,Cloves,715,Hectare,176680.075,53,MT,74,Kg/ Hectare,74,Silty,6.487763663,55.29180756,27.44490431,61.66070855,2078.828001,27.39601181,81.34594793,Medium,Perennial,52.25
2022-23,Cashew,32685,Hectare,8076626.925,13052,MT,399,Kg/ Hectare,399,Loamy,5.946268672,52.64944008,24.19058507,38.94567836,1069.244651,25.07129777,77.4829675,Low,Perennial,59.86
2021-22,Coffee,85880,Hectare,21221377.4,69900,MT,814,Kg/ Hectare,814,Loamy,6.073836462,72.24421369,28.16600288,90.87815635,1884.2036,23.47045064,79.74426738,Medium,Perennial,66.43
2021-22,Coffee,85880,Hectare,21221377.4,69900,MT,814,Kg/ Hectare,814,Loamy,6.099443495,72.23560423,33.51810706,59.72022538,2333.122334,20.99840821,84.88616833,Medium,Perennial,65.99
2023-24,Tapioca,55869,Hectare,13805509.25,2365765,MT,42345,Kg/ Hectare,42345,Silty,5.965481523,69.33230034,33.35769241,63.93779017,1264.65802,28.53283596,75.87548099,Medium,Kharif,100
2022-23,Turmeric,2162,Hectare,534241.01,6540,MT,3025,Kg/ Hectare,3025,Clay,5.878841467,59.77916688,38.0919113,42.34825595,1811.073206,27.99102513,67.23279406,Medium,Kharif,78.89
2023-24,Banana,47542,Hectare,11747865.91,477521,MT,10044,Kg/ Hectare,10044,Loamy,6.11570751,83.83223246,41.07107301,113.7720489,1751.245551,26.8131167,80.18685647,High,Perennial,84.75
2021-22,Betel leaves,243,Hectare,60046.515,8653,MT,35609,Kg/ Hectare,35609,Sandy,5.781450746,78.61279212,33.38320636,84.51641577,2107.422275,27.67877179,78.73112798,High,Perennial,91.45
2021-22,Mango,75840,Hectare,18740443.2,470040,MT,6198,Kg/ Hectare,6198,Loamy,6.28988216,56.52936413,26.85964351,48.61967107,1118.136645,29.62514805,66.64212384,Low,Perennial,80.42
2022-23,Cardamom,40345,Hectare,9969451.225,22165,MT,549,Kg/ Hectare,549,Silty,5.265912624,59.9735637,29.20295309,52.0763391,3355.316699,21.17896026,92.58748634,Medium,Perennial,60.28
2021-22,Jack,88873,Hectare,21960962.67,266,Million Nuts,2993,Nuts/ Hectare,2993,Sandy,5.17329901,61.05954625,24.93004403,63.69201469,1695.249946,29.03190952,78.2610497,Low,Perennial,76.81
2022-23,Cocoa,11657,Hectare,2880502.985,15220,MT,1306,Kg/ Hectare,1306,Loamy,5.996919528,65.2594895,25.58599247,69.39385943,1638.524209,25.09229409,86.36159195,Medium,Perennial,67.71
2023-24,Arecanut,96113,Hectare,23750002.87,103985,MT,1082,Kg/ Hectare,1082,Silty,6.815789568,61.03497794,25.87546063,60.20039333,1930.219793,27.55178617,82.79037494,Medium,Perennial,71.33
2022-23,Cocoa,11657,Hectare,2880502.985,15220,MT,1306,Kg/ Hectare,1306,Loamy,6.639606058,58.2002812,32.90151398,73.44571884,1683.334995,26.26168567,81.17908816,Medium,Perennial,69.15
2023-24,Betel leaves,221,Hectare,54610.205,7899,MT,35780,Kg/ Hectare,35780,Loamy,5.920947332,69.85998959,35.07870049,83.04900765,1705.716442,27.26221311,97.87269983,High,Perennial,93.67
2022-23,Tapioca,55713,Hectare,13766960.87,2390395,MT,42905,Kg/ Hectare,42905,Loamy,5.847588843,61.57873636,33.79389174,66.12432232,1399.349605,27.36798582,73.49204312,Medium,Kharif,93.9
2022-23,Paddy,191712,Hectare,47372993.76,595860,MT,3108,Kg/ Hectare,3108,Loamy,6.279282058,68.68134274,39.65367342,41.76645255,1930.305155,28.18340242,74.85386785,High,Kharif,75.42
2022-23,Cocoa,11657,Hectare,2880502.985,15220,MT,1306,Kg/ Hectare,1306,Silty,6.454304746,60.56734146,28.91183488,67.07409929,1812.67596,30.73119432,80.4372127,Medium,Perennial,69.27
2021-22,Jack,88873,Hectare,21960962.67,266,Million Nuts,2993,Nuts/ Hectare,2993,Loamy,5.857421777,57.23528931,29.72252513,60.56849624,1913.399461,28.96406869,77.37306015,Low,Perennial,75.97
2023-24,Betel leaves,221,Hectare,54610.205,7899,MT,35780,Kg/ Hectare,35780,Loamy,6.106261897,66.42493171,44.43857779,78.91182701,2155.203364,24.39685123,83.83917384,High,Perennial,97.24
2023-24,Mango,80331,Hectare,19850191.76,495544,MT,6169,Kg/ Hectare,6169,Silty,6.480071478,49.61370317,22.16219871,45.32775709,917.9960177,30.06613968,69.41153252,Low,Perennial,84.93
2022-23,Cashew,32685,Hectare,8076626.925,13052,MT,399,Kg/ Hectare,399,Loamy,5.854143415,54.97213985,26.0993995,38.19785067,1164.478834,26.48968696,77.43308655,Low,Perennial,58.65
2023-24,Cocoa,11736,Hectare,2900024.28,14544,MT,1239,Kg/ Hectare,1239,Loamy,6.163420592,56.49819083,24.09167997,58.15438463,2220.014306,29.06092449,75.58812854,Medium,Perennial,71.44
2022-23,Banana,47803,Hectare,11812360.32,468065,MT,9792,Kg/ Hectare,9792,Silty,5.547981575,119.0514927,54.54502937,116.2687528,1596.482651,26.37381667,81.57178144,High,Perennial,88.41
2021-22,Banana,49020,Hectare,12113087.1,461244,MT,9409,Kg/ Hectare,9409,Sandy,6.208500432,102.7925139,54.83446196,134.3796173,2172.674313,28.30760969,66.65085875,High,Perennial,88.68
2022-23,Pappaya,16805,Hectare,4152599.525,100288,MT,5968,Kg/ Hectare,5968,Loamy,5.973258431,72.04078851,36.21549525,112.4051527,1778.935455,27.56741301,76.73435688,High,Perennial,81.24
2022-23,Tapioca,55713,Hectare,13766960.87,2390395,MT,42905,Kg/ Hectare,42905,Sandy,6.177429946,59.05546314,25.22509435,67.2507988,1528.352199,28.4246107,77.84018038,Medium,Kharif,94.09
2022-23,Pepper,73732,Hectare,18219545.86,27654,MT,375,Kg/ Hectare,375,Silty,5.52202247,54.99832217,29.25212016,54.46515701,2713.314864,24.73223194,65.8508006,Medium,Perennial,57.01
2023-24,Cardamom,40345,Hectare,9969451.225,22869,MT,567,Kg/ Hectare,567,Loamy,5.177913356,60.17877181,27.44086401,52.35370796,3049.329772,21.30225023,92.01339687,Medium,Perennial,63.25
2022-23,Tea,35651,Hectare,8809540.355,65980,MT,1851,Kg/ Hectare,1851,Sandy,5.046477854,69.02929046,33.21272295,86.16602111,1749.051464,18.2166658,76.84897358,Medium,Perennial,72.3
2022-23,Ginger,2582,Hectare,638025.11,11007,MT,4263,Kg/ Hectare,4263,Silty,5.883104773,64.9101158,41.37078458,61.70335575,1555.032885,25.10814163,77.22822958,Medium,Kharif,85.56
2023-24,Turmeric,2046,Hectare,505576.83,36146,MT,3004,Kg/ Hectare,3004,Clay,5.818784701,77.09295076,34.80197063,43.39491135,1533.979412,26.28417824,85.41492812,Medium,Kharif,76.07
2023-24,Cardamom,40345,Hectare,9969451.225,22869,MT,567,Kg/ Hectare,567,Loamy,5.67564223,47.44784477,35.40930802,77.93878863,3525.002169,21.40550832,95.4104873,Medium,Perennial,67.58
2021-22,Ginger,2924,Hectare,722535.02,12886,MT,4407,Kg/ Hectare,4407,Clay,6.08675437,63.12119818,40.36452471,59.71741652,1728.396089,27.33530919,83.10690847,Medium,Kharif,84.24
2021-22,Cashew,32369,Hectare,7998541.745,15861,MT,490,Kg/ Hectare,490,Loamy,6.195305639,43.91039277,23.79977723,40.18832305,1311.372449,26.09593523,75.55447644,Low,Perennial,60.48
2022-23,Jack,89333,Hectare,22074630.97,264,Million Nuts,2953,Nuts/ Hectare,2953,Loamy,6.123507525,47.33104321,26.5206624,71.63065001,2214.101202,28.2297239,61.27055748,Low,Perennial,75.6
2022-23,Pepper,73732,Hectare,18219545.86,27654,MT,375,Kg/ Hectare,375,Loamy,6.161604837,56.43258634,34.60985711,53.10427786,3191.780864,26.50135936,81.52290127,Medium,Perennial,50.88
2023-24,Pepper,72669,Hectare,17956873.25,30798,MT,424,Kg/ Hectare,424,Loamy,5.841272992,63.19365117,40.42498095,41.37648513,3122.16144,22.65692254,85.26871821,Medium,Perennial,60.46
2023-24,Pepper,72669,Hectare,17956873.25,30798,MT,424,Kg/ Hectare,424,Clay,6.249166416,51.84092209,32.67287561,47.6047851,2212.010933,24.55081144,82.0172946,Medium,Perennial,58.53
2023-24,Paddy,180278,Hectare,44547595.19,811761,MT,2958,Kg/ Hectare,2958,Loamy,6.017816284,81.59800752,36.49319718,37.79914939,1863.382585,24.09696375,77.34974759,High,Kharif,77.31
2022-23,Coffee,85957,Hectare,21240404.49,68020,MT,791,Kg/ Hectare,791,Silty,5.791090466,62.0672725,38.2294278,97.00489492,2268.007896,22.83750744,74.87257916,Medium,Perennial,66.41
2021-22,Pineapple,11508,Hectare,2843684.34,106654,MT,9268,Kg/ Hectare,9268,Loamy,5.425405353,74.74163407,34.25898749,98.0165502,1652.486564,25.59786522,81.74314323,Medium,Kharif,84.64
2022-23,Coconut,760354,Hectare,187887275.2,5641,Million Nuts,7419,Nuts/ Hectare,7419,Clay,6.514767213,54.92016626,25.78725191,67.57939956,2415.116776,28.26365858,80.81701044,Medium,Perennial,85.43
2021-22,Paddy,195734,Hectare,48366850.07,562097,MT,2872,Kg/ Hectare,2872,Loamy,6.31274322,67.93174186,37.57276787,43.74830964,1580.977621,22.21673401,66.68194495,High,Kharif,76.81
2022-23,Pepper,73732,Hectare,18219545.86,27654,MT,375,Kg/ Hectare,375,Clay,6.317166802,56.74485672,30.85415535,41.04383615,2737.791781,27.01968128,73.05004713,Medium,Perennial,53.57
2021-22,Paddy,195734,Hectare,48366850.07,562097,MT,2872,Kg/ Hectare,2872,Silty,6.465203579,97.05647189,44.50390701,35.21365531,1718.147401,26.94652579,70.90083181,High,Kharif,74.78
2023-24,Betel leaves,221,Hectare,54610.205,7899,MT,35780,Kg/ Hectare,35780,Clay,6.338631097,60.97471498,40.84842028,78.20995123,2023.705516,25.22683404,81.40588292,High,Perennial,91.72
2023-24,Tea,35680,Hectare,8816706.4,65090,MT,1824,Kg/ Hectare,1824,Loamy,4.828891055,76.69348356,40.20888973,68.05544472,2192.162676,25.21737971,82.00420285,Medium,Perennial,71.47
2021-22,Arecanut,93968,Hectare,23219962.64,103476,MT,1101,Kg/ Hectare,1101,Silty,6.484316431,73.59551469,23.69728856,57.92487393,2523.180675,27.01578827,72.10337322,Medium,Perennial,71.03
2023-24,Cloves,672,Hectare,166054.56,51,MT,75,Kg/ Hectare,75,Loamy,5.610862435,55.92901021,26.68016672,57.56282537,2901.266404,26.91605111,82.00489382,Medium,Perennial,58.01
2022-23,Cardamom,40345,Hectare,9969451.225,22165,MT,549,Kg/ Hectare,549,Clay,5.69275314,58.54250573,29.12212848,68.30089857,4037.210472,24.70034173,74.99705782,Medium,Perennial,61.2
2021-22,Nutmeg,22152,Hectare,5473869.96,17435,MT,787,Kg/ Hectare,787,Clay,6.02719706,57.79302692,31.61663998,67.62310527,2940.83665,24.12782097,83.57473132,Medium,Perennial,65.16
